trial_number,loss,latent_dim,int1_dim,int2_dim,int3_dim,int4_dim,dropout_rate,kl_beta,alpha_lrelu,momentum,initial_lr,decay_steps,decay_rate
116.0,0.1511153280735016,49.0,243.0,56.0,60.0,0.0,0.30239276864803066,1.0,0.09815366874959501,0.6662154207699928,0.014673588172205702,152.0,1.0613958004520503
117.0,0.1639077365398407,30.0,248.0,66.0,57.0,0.0,0.31942566794333543,1.0,0.08347398191788505,0.694076457509725,0.011540338430093213,158.0,1.0525641435349895
118.0,0.13358062505722046,18.0,239.0,97.0,0.0,0.0,0.27862433103065964,1.0,0.10673619980994752,0.6787578719933414,0.012585826008013678,166.0,1.0663817261513209
119.0,0.15873295068740845,16.0,204.0,97.0,0.0,0.0,0.309953837815132,1.0,0.11103841950843808,0.6459414374615113,0.012586304271425094,176.0,1.0693979111410856
120.0,0.16503122448921204,12.0,253.0,81.0,0.0,0.0,0.27871568931513524,1.0,0.10142760261326003,0.7021093233047769,0.015007193632241227,165.0,1.039437714830679
121.0,0.17447619140148163,11.0,237.0,46.0,0.0,0.0,0.29850070254047306,1.0,0.09039726311925783,0.6877623062150386,0.009320153388126466,160.0,1.0902897634530606
122.0,0.15588834881782532,14.0,244.0,91.0,0.0,0.0,0.2829247941863665,1.0,0.12074791252446515,0.7285921725040603,0.017852686321802327,167.0,1.0767054196267758
123.0,0.16954305768013,47.0,87.0,0.0,0.0,0.0,0.25278814373857944,1.0,0.14387036509134965,0.7465839684941419,0.010632262256193336,134.0,1.0572342828517467
124.0,0.16598500311374664,21.0,231.0,74.0,66.0,0.0,0.2700616038626538,1.0,0.15898918961901737,0.7190227284698316,0.007349970570506608,149.0,1.0847741552977213
125.0,0.15096794068813324,10.0,249.0,71.0,75.0,0.0,0.32658256142773084,1.0,0.12914822838930623,0.6826824700032178,0.022968027162681863,153.0,1.0482487593788012
126.0,0.15957321226596832,17.0,191.0,104.0,55.0,0.0,0.29179397515889005,1.0,0.10715844075560048,0.7099287932032955,0.012602878514175849,168.0,1.0340474880053705
127.0,0.1589341163635254,50.0,240.0,77.0,64.0,0.0,0.357590887420426,1.0,0.13166275263322227,0.7527323113452135,0.00911345134606847,186.0,1.064950788796892
128.0,0.16444465517997742,48.0,277.0,214.0,60.0,54.0,0.3436028184823632,1.0,0.053296988817617685,0.728593863295622,0.006207916926174629,172.0,1.098402235622387
129.0,0.17940227687358856,19.0,253.0,60.0,47.0,0.0,0.2611155571536673,1.0,0.16799153596773775,0.6642839064152667,0.008229330641969769,155.0,1.1155228367247068
130.0,0.14589232206344604,46.0,274.0,194.0,69.0,67.0,0.30284570034987995,1.0,0.0666326685169766,0.8921405082225783,0.01507931897752347,163.0,1.1337153346152617
131.0,0.1385612040758133,46.0,265.0,197.0,78.0,65.0,0.30777540936913256,1.0,0.06727112136737506,0.8928729775884986,0.015341810573155062,163.0,1.1377839250509476
132.0,0.17317941784858704,46.0,267.0,207.0,77.0,63.0,0.3083241301380704,1.0,0.07492358069559171,0.8994055323376673,0.014845158784539,163.0,1.1338537322685718
